type,index,status,time_total_ms
mcp-weather,1,406,67
mcp-weather,2,406,63
mcp-weather,3,406,59
mcp-weather,7,406,64
mcp-weather,10,406,60
mcp-weather,6,406,74
mcp-weather,8,406,63
mcp-weather,4,406,91
mcp-weather,5,406,77
mcp-weather,9,406,62
mcp-weather,11,406,59
mcp-weather,12,406,64
mcp-weather,13,406,92
mcp-weather,14,406,89
mcp-weather,15,406,88
mcp-weather,17,406,81
mcp-weather,16,406,85
mcp-weather,21,406,69
mcp-weather,19,406,85
mcp-weather,20,406,82
mcp-weather,22,406,67
mcp-weather,18,406,91
mcp-weather,23,406,63
mcp-weather,24,406,64
mcp-weather,25,406,65
mcp-weather,27,406,67
mcp-weather,28,406,60
mcp-weather,32,406,61
mcp-weather,30,406,62
mcp-weather,29,406,62
mcp-weather,31,406,65
mcp-weather,26,406,82
mcp-weather,33,406,68
mcp-weather,34,406,66
mcp-weather,37,406,56
mcp-weather,35,406,70
mcp-weather,36,406,60
mcp-weather,39,406,63
mcp-weather,38,406,70
mcp-weather,42,406,63
mcp-weather,41,406,65
mcp-weather,40,406,66
mcp-weather,43,406,63
mcp-weather,44,406,72
mcp-weather,45,406,75
mcp-weather,49,406,58
mcp-weather,48,406,60
mcp-weather,47,406,73
mcp-weather,50,406,58
mcp-weather,46,406,76
